Feature	Intercept_mean	C(disease, Treatment('Control'))[T.MS]_mean	site[T.Buenos Aires]_mean	site[T.Edinburgh]_mean	site[T.New York]_mean	site[T.Pittsburgh]_mean	site[T.San Francisco]_mean	site[T.San Sebastian]_mean	age_mean	bmi_mean	Intercept_std	C(disease, Treatment('Control'))[T.MS]_std	site[T.Buenos Aires]_std	site[T.Edinburgh]_std	site[T.New York]_std	site[T.Pittsburgh]_std	site[T.San Francisco]_std	site[T.San Sebastian]_std	age_std	bmi_std
G001896645	-10.98707006	0.11432638671399971	-0.6813205351079996	-0.6071307390510001	-0.1923273457192049	-0.17691217210799987	-0.6665451046520008	-0.7818442441079999	0.00029239268054999997	-0.021471576236285022	0.8490773084485864	0.14227334577886988	0.6026812334342122	0.5968081701253664	0.6569062998793468	1.080902314899984	0.585740132671546	0.7491266511095689	0.010755946176872054	0.01871579167671053
G001705175	-9.04734471499999	2.6592965163600044	-4.541480891459993	0.9616341687864985	4.908748387615006	-1.3243576006269988	-0.3387263590544999	-2.390673565404997	-0.04902295370919997	-0.6200972229999999	1.9812888202697572	1.8918191661248414	3.439589222321637	2.7275490703111482	2.6306152561028973	4.182989565082262	2.728291532651663	4.057890124099008	0.06916192336894893	0.1795453326374407
G000308855	-10.159991035000008	-0.4123119973925003	-0.1875272300705	2.1737020138545025	-4.200488734650007	-2.20748760745	0.3736994435249988	-3.032832718326402	-0.14315305102699988	-0.23135558485000027	1.879757408713975	1.144397502356969	2.0424420776424275	2.1428319486498966	3.50842781058493	4.052173162154102	2.1917754140637444	3.6849596477091002	0.05952862381559008	0.10694200330684889
G000687955	-15.339012449999995	-0.27526405226789974	-0.6599541155209994	0.48307248932700037	-0.2537761565890499	-1.209963294051499	-0.4765343441535	-0.33025959683650025	-0.0023004018769525055	0.03378999883477003	0.9127112916799022	0.16276362561304838	0.6071542630449773	0.6191986341074649	0.719398942103959	1.1985335254969867	0.6251640266406826	0.7974737186097217	0.011495037829180457	0.020131979084846322
G900116485	-12.262085920000008	-0.5880018688979992	0.11099081065000006	-1.0356564042980005	-2.240951151105001	-3.0283240586709947	-1.9590156426350012	1.2369247720250014	-0.10872858531999985	-0.08830303842399993	1.7592971449286934	0.8750242543537404	1.4566294158306903	1.651504139678363	2.0502221979525834	3.8353566795325778	1.7511093379568077	1.804221675161687	0.039701952836457464	0.07683738511813673
G000432315	-9.38102384499998	-0.5709933224999993	1.9013502632000017	2.915909518500004	1.1627318038489958	1.7129890697650012	1.2847669357649991	2.7176288420000017	-0.0028729082975000046	-0.033964315077085	0.8447224077958185	0.14581868158623404	0.5990060039342975	0.5936225800102137	0.6650589205154144	1.0667309250172636	0.5855764663407547	0.7324502444279398	0.010509674523923566	0.01970257914337064
G001481755	-9.997364615000023	-0.5798331981729992	-0.34907741515499996	0.9930172898550008	-5.098686981364997	-2.6828564206799994	-0.6956315168900006	-4.185739425569995	-0.06631675667518991	-0.29509212655	1.7802345563121313	0.8976888321850646	1.6448105838749814	1.6910066549328808	3.224344193164234	3.6715069653164853	1.7357142055503136	3.5927484322992327	0.040961841434902474	0.0931882879736875
G000381005	-11.519512819999981	0.12641850665299986	0.8475750278199999	-0.07218096256099993	-0.29025070101249956	0.058459898036950064	0.20850580430199991	1.2050171986950007	-0.00020905167697800014	-0.005517427101350005	0.5775713893416532	0.05261427325411432	0.5392253736700264	0.5509609264767351	0.6213237250447018	0.9083516328989042	0.5034564344784777	0.6295275494306511	0.006090302251356159	0.007636098245102682
G900107885	-15.777259599999969	0.27129430879745015	-1.9301686408550023	-1.8535040600100037	2.553586802000003	2.619967779360001	-0.9956411980569977	-3.007071970690005	-0.010591375918859999	-0.036126921962549935	1.272821858819151	0.3045049012033115	0.8975627614414339	0.8942161757718532	0.8552297444382982	1.3016383802310014	0.8424098773352735	1.4548927759025303	0.01658352441067761	0.032680688448752875
G000800475	-11.893630775000013	-0.2663005905405001	0.013502125776999982	1.1321622262949997	-0.026416959126999998	-1.4847553899690007	-0.4725807759930002	0.026983520466499905	-0.02272296598810001	-0.04576288015400001	0.8032908714177875	0.1250375098429996	0.5728285953209782	0.5729801678507723	0.6460276974551141	1.2011455133912687	0.5629038249917604	0.7206937251866091	0.009963832305231908	0.016950709362293436
