Feature	Intercept_mean	C(disease, Treatment('Control'))[T.MS]_mean	age_mean	bmi_mean	Intercept_std	C(disease, Treatment('Control'))[T.MS]_std	age_std	bmi_std
G001311195	-12.530960615000012	-0.6215532677810004	-0.06490004390100002	-0.08750853232099967	1.4982534201863427	0.5608911914883877	0.023932348146227	0.05550584967218535
G000025965	-13.83577516499999	-0.6136043698349993	-0.05695078003559999	-0.1147498305655	1.4118404904397204	0.5134407341810941	0.02454407746419267	0.051459526035769976
G000526635	-10.797396514999985	-0.5708028172519998	-0.05333654479640001	-0.3338787469999999	1.892375079746455	1.1268918474104759	0.04994239305906109	0.10653184254549256
G001688965	-8.736342869999996	0.18410494743500033	-0.006886302555740017	-0.008115782740850007	0.4985103337993739	0.07873111425353908	0.008124843028624781	0.011600769266912203
G001050115	-14.856195270000004	-0.9920501545350018	-0.016905059414399994	-0.09224035238750017	1.4312631833207425	0.4469079399342391	0.02126898612450326	0.048636806682266574
G000826185	-11.167936349999993	-0.5967527652168994	-0.06577446657494997	-0.2964934125249996	1.9207360801655113	1.2301493301022137	0.05327730483982178	0.10839977628194607
G000436775	-9.918212199999994	-0.16990779967699987	0.020979984311149988	0.028867149287234904	0.788804059051461	0.16561441529038642	0.012023072909627239	0.02149130313192766
G000468855	-11.180179074999984	0.10767332131245023	-0.016183906065594986	0.006723839774149994	0.7130102369683018	0.1553820998383527	0.011358250293342515	0.019632124078706615
G000687555	-15.83224944999996	0.4641775905645009	-0.016165948159	-0.004045157316449991	0.906696044421556	0.19582191623738993	0.01368360820319691	0.02398816753663689
G000410475	-12.38134927	-0.9200055215000007	-0.02419951853735001	-0.024249024668049964	0.9229175659106105	0.2037936307395683	0.013486102352743288	0.02728938106526163
G000372825	-12.195659684999983	-1.7715905788700002	-0.023587978079949983	-0.2704359280500001	1.8193781864617786	0.9483202093196205	0.035956169542294726	0.07761905021023889
G000160695	-16.05753630000001	-0.4373295196800005	-0.02238767923326002	0.03465575118781997	0.9706305599002688	0.24431654251958376	0.01453814113090724	0.02706389985820402
G900112735	-11.036838904999982	-0.1862416474840003	-0.009715075880499989	0.01433366835000001	0.5091400852029342	0.07220212767932771	0.007999176836164372	0.011178561529996302
G000296815	-14.002124995000024	0.15920421925300005	0.021829193460100024	-0.23893903407999995	1.7806435775460219	0.7522319760164523	0.03136214050576337	0.08054702504106416
G000754095	-11.047746850000005	-1.1886611557850029	-0.02456640348190499	-0.3179270435000008	1.662098655808907	0.7315595630056309	0.03138801114170737	0.0731818894232898
G000019405	-14.361396300000019	0.3309819870916502	-0.023889201088850037	0.004808513455379998	0.8890151083284871	0.208382231977694	0.013261226472885407	0.02540013742822168
G000772955	-12.052216610000015	-3.124029296349995	-0.12211990025035004	-0.16175266688149983	1.748299246259093	1.6167771039448366	0.057913376392706	0.1030241296754893
G001457015	-10.159661594999994	0.7406581513250009	-0.1390964814670998	-0.16001098635249955	2.00145455951016	1.697865563477114	0.07877932504415999	0.141234744105983
G001006065	-15.048457849999995	0.126533792089	-0.006667161801275	-0.047981158515	0.7691529941165006	0.1546223197331064	0.01181026849592545	0.021231579803915875
G001421995	-9.498395704999998	-0.19704590472564987	-0.10691572541099992	-0.3827372638219993	1.9480639833090463	1.6486526013620983	0.07955338194708347	0.14654743467278403
G000615805	-14.775757305000015	-1.2990577396999974	-0.05526745715000004	-0.030501060593149998	1.530261147128941	0.5577301526449261	0.02297543184348255	0.052940754046780114
G001916415	-7.438492560000008	0.03410589887029999	0.01871667051550001	-0.01536725672225002	0.7871243185098179	0.16624380013904266	0.011486729652739985	0.021566393500632487
G000739535	-15.158960299999958	-0.40808565901949967	0.0010223188988149985	-0.07659327756309998	1.0287118055042974	0.250608400224697	0.014172271383339714	0.030978502208846296
G000240075	-12.471910234999996	0.8957372479014986	-0.18563243159999998	-0.06776526043699983	1.8899326261954663	1.2885943601261627	0.04788118224710123	0.06653626922517915
G000012405	-12.371305375000004	1.954252617429996	-0.0823044564665999	-0.2653027657645003	1.8939094427141854	1.3771879498826975	0.05293768107689031	0.11050379656615104
G000381525	-9.317389470000004	0.026896767699849937	-0.012445403203159991	0.004239976414335	0.5391056215041897	0.08893605255404373	0.00873048950604768	0.012603736650587824
G000220335	-15.850924899999992	-0.6924747528735016	-0.06500858642000004	0.018187033718999993	1.187897347075911	0.3907470670745092	0.01996109489695122	0.036725831480960376
G001617995	-11.697457514999986	-0.6534514827800003	-0.1635100702	-0.0868706573553498	1.858354923564217	1.1471267030503647	0.05770486776861491	0.0932053743314503
G000154225	-10.707961189999985	-0.3422299428499999	-0.006527116041500009	0.021490882471309994	0.6071106669206068	0.10156181151922898	0.009266773928345549	0.015288511788362514
G000961655	-9.699122834999994	0.24008433762949943	-0.04584232854129994	-0.51043548005	1.9024056955338728	1.5710476162797478	0.06444083163190505	0.14697247466315036
G000311985	-10.88276390999999	0.26576347689550023	-0.02455428953923502	0.010095945015650015	0.8002996484263956	0.17624100685626307	0.011561693973065862	0.02178658332103758
G000428845	-14.36643425	0.05455637026035498	-0.009143033578041018	-0.05705596951279994	0.7596451065806566	0.12975333264388644	0.01103290436945524	0.01945174238950118
G001583435	-12.194527609999989	-0.8040183134900015	-0.06355812080049998	-0.30142905387500024	1.825227083620524	1.2775499695328802	0.05954538516810927	0.11943797877284779
